indicator,source,series_id,countries,year_min,year_max,license,direction,anchor,coverage_pct,flags
gs_s3_3_migration_channel_DEDUP_NOTE,(carried flag),n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,"NOTE-ROW / S3.3 DE-DUP CARRIED (pending decision): the gendered migration-channelling signal (sex-disaggregated outflow into exploitation-exposed corridors) overlaps Constrained Mobility. NOT independently scored -- no publish-safe 195-country sex x corridor-by-sector panel exists. Carried as a de-dup flag, NOT resolved here. Pending decision: gender migration-channel by sector."
cm_d2_kafala_sponsorship,(unmapped -- bespoke gap; source need documented),NONE,0,,,n/a,high_risk (more sponsorship-tied corridor exposure / more binding = more risk),n/a (no loaded country signal),0.0,"GAP / LOW-CONFIDENCE: D2 sponsorship-dependency (kafala family) -- recruitment-side TERMS-OF-ENTRY (s2a corridor exposure + s2b legal bindingness). NO loaded connector. Distinct from the in-situ Exploitation/Foreclosed-Exit kafala form (cross-domain flag, scored there) and from State-Production's construction signal (docs/data-provenance.md). NOT mapped -- do NOT proxy from henley/dmove. Source need documented in docs/data-provenance.md. docs/METHODS.md §6 / §11.8."
cm_d3_brokerage_infrastructure,(unmapped -- bespoke gap; source need documented),NONE,0,,,n/a,high_risk (more broker dependence + weaker oversight = more risk),n/a (no loaded country signal),0.0,"GAP / LOW-CONFIDENCE: D3 brokerage / migration-infrastructure dependency (s3a broker-intermediated share + s3b recruitment-industry oversight deficit). NO loaded connector. Scored NET of broker-debt MAGNITUDE (that is Debt's, cross-domain flag) to avoid double-count. NOT mapped -- do NOT proxy. Source need documented in docs/data-provenance.md. docs/METHODS.md §7."
fe_d234_exit_wage_contractor_gaps,(unmapped -- bespoke gaps; source needs documented),NONE,0,,,n/a,high_risk (less functioning exit / wider wage-coercion room / more insulating contracting = more risk),n/a (no loaded country signals),0.0,"GAP / LOW-CONFIDENCE: D2 functioning exit/grievance mechanisms, D3 wage-structure coercion CAPACITY (legal room for withholding/deferral/in-kind/deposit -- the ROOM, never a victim count), D4 supervising/insulating labour contractor -- all need legal-architecture coding with NO loaded connector. NOT mapped -- do NOT proxy. Enforcement-effectiveness gap documented (docs/data-provenance.md); macro framing documented (docs/data-provenance.md). docs/METHODS.md §3/§9."
spu_d1_tied_status_construction,(unmapped -- bespoke legal-coding gap),NONE,0,,,n/a,high_risk,n/a (no single cross-national tied-status legal-design coding),0.0,"HARD-GAP / LOW-CONFIDENCE (rule 9: never missing->0). D1 tied-status regime CONSTRUCTION (kafala / sponsorship / single-employer work-permit legal design + bindingness; s1.1 legal-design, s1.2 tied-population scope). NO single defensible cross-national dataset -- legal coding of tied-status bindingness is uneven (flag F). Do NOT over-proxy: ILO NORMLEX C105/C029 ratification is near-universal / low-variance and ratification != compliance -- weak alone, NOT a tied-status construction measure. Candidate manual-coding partials only (ILO labour-migration frameworks; MIPEX immigration policy). UNMAPPED -- do not fabricate coverage. BOUNDARY: scores the CONSTRUCTION act only; the worker-facing DEPLOYMENT modulator sits in Foreclosed Exit (flag A) -- confirm not the same measured variable entered twice, and test D1-vs-D2 collinearity. Pending decision: tied-status legal coding."
spu_d2_precarity_immigration_architecture,(unmapped -- bespoke legal-coding gap),NONE,0,,,n/a,high_risk,n/a (no single cross-national status-conditionality / deportability legal coding),0.0,"HARD-GAP / LOW-CONFIDENCE (rule 9: never missing->0). D2 precarity-fashioning immigration architecture (status conditionality / revocability design s2.1; deportability-as-law legal exposure s2.2). NO single defensible cross-national dataset -- this is legal-design coding of revocability / standing removal exposure, not deportation event counts (event counts are detection-biased and excluded under the structural-conditions premise; D2 reading rule). Candidate manual-coding partial: MIPEX (immigration policy) -- partial, manual, NOT a deportability-as-law measure; do NOT over-proxy. UNMAPPED -- do not fabricate coverage. BOUNDARY: the ABSENCE of relieving enforcement is the guardian gate (scored once elsewhere), NOT this generating driver; check D1-vs-D2 collinearity (flag A). Pending decision: tied-status legal coding (immigration-architecture scope)."
spu_d3_protective_floor_deregulation,(unmapped -- bespoke legal-coding gap),NONE,0,,,n/a,high_risk,n/a (no single cross-national labour-protection-floor coverage / deregulation coding),0.0,"HARD-GAP / LOW-CONFIDENCE (rule 9: never missing->0). D3 protective-floor DEREGULATION = the LEGAL CONTENT of (non-)protection: categorical exclusion of high-exposure categories (domestic / agricultural / informal / migrant) from core labour protections (s3.1) + legal room left for coercive wage/contract structures (s3.2). NO single defensible cross-national dataset of labour-law COVERAGE/exclusion. Do NOT over-proxy: ILO NORMLEX C105 ratification is near-universal / low-variance and ratification != compliance -- it is a de jure RATIFICATION status, NOT a protective-floor-coverage / deregulation measure; use only as ONE weak input paired with enforcement, never alone. UNMAPPED -- do not fabricate coverage. HONESTY CAVEAT (flag B): deregulation -> FORCED-LABOUR-magnitude is a mechanistic INFERENCE, not a directly-evidenced cross-national dose-response. BOUNDARY: scores legal CONTENT of the floor, NOT enforcement of an existing floor (= guardian gate, scored once elsewhere); keep the two from sharing a measured variable (flag B). s3.2 connecting-flagged to the cross-phase DEBT theme / Foreclosed-Exit exit-cost (flag C). Pending decision: reform-implementation verification (+ tied-status legal coding for labour-law coverage coding)."
esd_d3_buyer_concentration,(unmapped -- hard gap),NONE,0,,,n/a,high_risk,n/a (no defensible country measure),0.0,"HARD-GAP / LOW-CONFIDENCE: D3.s1 buyer concentration / lead-firm power has NO clean off-the-shelf country measure (OECD-TiVA / UNCTAD-Eora GVC are *position* indices, not buyer power). NOT mapped -- do NOT over-proxy (D3 weakly-measurable flag). PARTIAL D3.s2 sourcing-squeeze proxy is the ALREADY-LOADED unctad_export_concentration, used LOW-CONFIDENCE only. BOUNDARY: product-market buyer power, NOT labour-market monopsony (Foreclosed Exit's) -- screen collinearity vs Foreclosed-Exit monopsony (see docs/METHODS.md). Pending decision: buyer/criminal-market sourcing."
esd_d4_criminal_market_embedding,"(unmapped -- hard gap, circularity-constrained)",NONE,0,,,n/a,high_risk,n/a (no non-circular country measure),0.0,"HARD-GAP / LOW-CONFIDENCE: D4 criminal-market embedding (the WHOLE crime cluster, cluster-weighted 50/50 per design decision) has NO defensible non-circular country dataset. GI-TOC human-trafficking criminal-market score is OUTCOME-CIRCULAR and EXCLUDED (circularity traps; see docs/scoring-rules.md and docs/METHODS.md). NOT mapped. CONSEQUENCE: the crime cluster {D4} is unscorable -> the domain currently rests on the business cluster {D1,D2(,D3 partial)} alone; flag that cluster-equal 50/50 combine cannot be realised until D4 is sourced. Pending decision: buyer/criminal-market sourcing for the evidence base."
fe_d1_monopsony_exit_cost_spine,(unsourceable at 195 scale -- flagged for review; source need documented),NONE (wb_labor_productivity is NOT a monopsony measure),0,,,n/a,high_risk (more labour-market concentration / higher exit cost = more risk),n/a (no loaded concentration signal),0.0,"GAP / FLAGGED FOR REVIEW: D1 monopsony / exit-cost structure is the domain's NAMED GENERATING SPINE (scored only here) and is FLAGGED UNSOURCEABLE at 195-country scale (docs/METHODS.md §9.3 / flag 3). The crosswalk's wb_labor_productivity is output-per-worker, NOT labour-market concentration -- do NOT substitute it for the spine. OPEN DECISION standalone-low-confidence (keep D2/D3/D4 + Z-defeaters, spine unmeasured) VS fold-in (prevalence-proxy flip: route into Economic Structure & Demand + State Production) -- pending decision at data-stage review, NOT decided here. Source need documented in docs/data-provenance.md. S1.2 isolation / S1.3 legal-switching-cost equally unmapped."
gs_s3_1_unpaid_care_NOTE,(unsourced -- pending decision),n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,NOTE-ROW / UN-GROUNDABLE at 195 scale: s3.1 gendered unpaid-care burden (female-to-male time-use ratio) has NO publish-safe ~195-country panel (UN time-use surveys are sparse/intermittent; SDG 5.4.1 covers ~90 countries below the floor). NOT substituted silently. D3 falls back to s3.2 alone (low-confidence). Pending decision: unpaid-care time-use gender source.
gs_s3_1_unpaid_care_NOTE,(unsourced -- source need documented),n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,NOTE-ROW / UN-GROUNDABLE at 195 scale: docs/METHODS.md s3.1 gendered unpaid-care burden (female-to-male time-use ratio) has NO publish-safe ~195-country panel (UN time-use surveys are sparse/intermittent; SDG 5.4.1 covers ~90 countries below the floor). NOT substituted silently. D3 falls back to s3.2 alone (low-confidence). Source need documented in docs/data-provenance.md.
